"time","V","i_L","der(V)","der(i_L)","i_C","i_R"
0.646,23.61866734773357,0.2656493695324069,29.46269605507121,0.3813326522664333,0.02946269605507121,0.2361866734773357
0.648,23.67772486326148,0.2663528357932197,29.57558716060488,0.3222751367385221,0.02957558716060488,0.2367772486326148
0.65,23.73688855739476,0.2669380850179539,29.56919944400627,0.2631114426052363,0.02956919944400627,0.2373688855739476
0.652,23.79592103111291,0.2674050415157051,29.44583120457595,0.2040789688870852,0.02944583120457595,0.2379592103111292
0.654,23.8545920362326,0.2677542715861302,29.20835122380419,0.1454079637674006,0.02920835122380419,0.238545920362326
0.656,23.91267707008097,0.2679867664156966,28.8599957148869,0.08732292991903279,0.0288599957148869,0.2391267707008097
0.658,23.96995611675663,0.2681038029069755,28.4042417394092,0.03004388324336915,0.0284042417394092,0.2396995611675663
0.66,24.02621950304004,0.2681072731394017,27.84507810900133,-0.02621950304003562,0.02784507810900133,0.2402621950304004
0.662,24.08126547084953,0.2679994528305691,27.18679812207386,-0.08126547084952662,0.02718679812207386,0.2408126547084953
0.664,24.13489818738981,0.2677828819837456,26.43390010984753,-0.1348981873898083,0.02643390010984753,0.2413489818738981
0.666,24.18693436012166,0.2674606162171866,25.59127261597005,-0.1869343601216578,0.02559127261597005,0.2418693436012166
0.668,24.23720062901448,0.2670360619379395,24.6640556477947,-0.237200629014481,0.0246640556477947,0.2423720062901448
0.67,24.28553136091119,0.2665128698617207,23.65755625260879,-0.2855313609111931,0.02365755625260879,0.2428553136091119
0.672,24.33177388554081,0.2658950736024542,22.57733474704618,-0.3317738855408052,0.02257733474704618,0.2433177388554081
0.674,24.37578784261787,0.265187029552466,21.42915112628724,-0.3757878426178749,0.02142915112628724,0.2437578784261787
0.676,24.41744192277798,0.2643933009452368,20.21888171745709,-0.4174419227779751,0.02021888171745709,0.2441744192277797
0.678,24.45661747507655,0.2635187143246198,18.95253957385434,-0.4566174750765484,0.01895253957385434,0.2445661747507655
0.68,24.4932101407946,0.2625683659068978,17.63626449895186,-0.493210140794595,0.01763626449895186,0.2449321014079459
0.6820000000000001,24.52712559176564,0.2615475093933446,16.2762534756882,-0.527125591765639,0.0162762534756882,0.2452712559176564
0.6840000000000001,24.55828128747428,0.2604615610544719,14.87874817972909,-0.5582812874742835,0.01487874817972909,0.2455828128747428
